threads,run,seconds
1,1,116,115977
1,2,115,083639
1,3,115,066574
1,4,114,421981
1,5,112,384437
1,6,113,684060
1,7,106,096310
1,8,108,607146
1,9,106,911749
1,10,105,622057
2,1,57,665888
2,2,58,102709
2,3,58,396217
2,4,59,470061
2,5,59,671177
2,6,58,290629
2,7,58,893184
2,8,58,040310
2,9,59,252916
2,10,59,062121
4,1,35,402965
4,2,35,978358
4,3,35,661472
4,4,35,997779
4,5,35,148099
4,6,34,861909
4,7,34,466075
4,8,35,458252
4,9,36,748686
4,10,35,340641
8,1,24,783323
8,2,24,423134
8,3,24,744355
8,4,25,201452
8,5,25,317950
8,6,25,082237
8,7,24,357954
8,8,24,155942
8,9,23,559082
8,10,24,588921
16,1,18,699877
16,2,18,432766
16,3,15,836297
16,4,19,197096
16,5,20,404323
16,6,18,492717
16,7,18,141133
16,8,17,598278
16,9,20,228064
16,10,18,724831
